scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,tree_tip_raw,tree_tip_display
Eulemur macaco,Eulemur macaco,eulemur macaco,eulemur macaco,eulemur macaco,eulemur macaco
Eulemur mongoz,Eulemur mongoz,eulemur mongoz,eulemur mongoz,eulemur mongoz,eulemur mongoz
Eulemur rubriventer,Eulemur rubriventer,eulemur rubriventer,eulemur rubriventer,eulemur rubriventer,eulemur rubriventer
Gorilla gorilla,Gorilla gorilla,gorilla gorilla,gorilla gorilla,gorilla gorilla,gorilla gorilla
Hapalemur griseus,Hapalemur griseus,hapalemur griseus,hapalemur griseus,hapalemur griseus,hapalemur griseus
Hylobates agilis,Hylobates agilis,hylobates agilis,hylobates agilis,hylobates agilis,hylobates agilis
Hylobates klossii,Hylobates klossii,hylobates klossii,hylobates klossii,hylobates klossii,hylobates klossii
Hylobates lar,Hylobates lar,hylobates lar,hylobates lar,hylobates lar,hylobates lar
Hylobates moloch,Hylobates moloch,hylobates moloch,hylobates moloch,hylobates moloch,hylobates moloch
Hylobates muelleri,Hylobates muelleri,hylobates muelleri,hylobates muelleri,hylobates muelleri,hylobates muelleri
Hylobates pileatus,Hylobates pileatus,hylobates pileatus,hylobates pileatus,hylobates pileatus,hylobates pileatus
Lagothrix lagotricha,Lagothrix lagotricha,lagothrix lagotricha,lagothrix lagotricha,lagothrix lagotricha,lagothrix lagotricha
Lemur catta,Lemur catta,lemur catta,lemur catta,lemur catta,lemur catta
Leontopithecus chrysomelas,Leontopithecus chrysomelas,leontopithecus chrysomelas,leontopithecus chrysomelas,leontopithecus chrysomelas,leontopithecus chrysomelas
Leontopithecus chrysopygus,Leontopithecus chrysopygus,leontopithecus chrysopygus,leontopithecus chrysopygus,leontopithecus chrysopygus,leontopithecus chrysopygus
Leontopithecus rosalia,Leontopithecus rosalia,leontopithecus rosalia,leontopithecus rosalia,leontopithecus rosalia,leontopithecus rosalia
Lophocebus albigena,Lophocebus albigena,lophocebus albigena,lophocebus albigena,lophocebus albigena,lophocebus albigena
Lophocebus aterrimus,Lophocebus aterrimus,lophocebus aterrimus,lophocebus aterrimus,lophocebus aterrimus,lophocebus aterrimus
Macaca arctoides,Macaca arctoides,macaca arctoides,macaca arctoides,macaca arctoides,macaca arctoides
