scientific_name_clean,scientific_name_raw,scientific_name_display,scientific_name_clean_original,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,diet_pct_fruit_n,diet_pct_fruit_min,diet_pct_fruit_max,max_longevity_years_pantheria,max_longevity_pantheria_n,included_in_core_non_nocturnal_build,included_in_core_conflict,order,order_conflict,foraging_stratum_eltontraits,foraging_stratum_conflict,abs_latitude_mid_dd,abs_latitude_mid_pantheria,lat_mid_dd_pantheria,lat_midrange_dd_pantheria,lat_min_dd_pantheria,lat_max_dd_pantheria,anage_longevity_years,longevity_years,log_longevity,abs_latitude,uv_i,arboreal_i,luv_raw,z_frugivory,z_luv,z_lifetime,miss_routine,miss_z_frug,miss_z_luv,miss_arboreal,complete_full_model
cercocebus agilis,Cercocebus agilis,Cercocebus agilis,cercocebus agilis,cercocebus agilis,1,1,1,FALSE,70,1,70,70,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,3.9,NA,3.9,NA,-1.04,8.86,31,31,3.4339872044851463,3.9,0.9976842788356053,0.1,30.928212643903763,1.4681157166858536,0.2624699221952111,0.11099010913706536,FALSE,FALSE,FALSE,FALSE,TRUE
cercocebus galeritus,Cercocebus galeritus,Cercocebus galeritus,cercocebus galeritus,cercocebus galeritus,1,1,1,FALSE,70,1,70,70,21,1,1,FALSE,primates,FALSE,arboreal,FALSE,2.1,NA,-2.1,NA,-3.29,-0.92,NA,21,3.044522437723423,2.1,0.9993283937786562,0.1,20.98589626935178,1.4681157166858536,-0.7202694275384638,-0.6619137138893768,FALSE,FALSE,FALSE,FALSE,TRUE
cercocebus torquatus,Cercocebus torquatus,Cercocebus torquatus,cercocebus torquatus,cercocebus torquatus,1,1,1,FALSE,70,1,70,70,30,1,1,FALSE,primates,FALSE,arboreal,FALSE,4.2,NA,4.2,NA,-2.58,10.99,46,30,3.4011973816621555,4.2,0.9973144772244581,0.1,29.919434316733742,1.4681157166858536,0.16275813271665884,0.03369972683442115,FALSE,FALSE,FALSE,FALSE,TRUE
cercopithecus ascanius,Cercopithecus ascanius,Cercopithecus ascanius,cercopithecus ascanius,cercopithecus ascanius,1,1,1,FALSE,50,1,50,50,28.3,1,1,FALSE,primates,FALSE,arboreal,FALSE,2.71,NA,-2.71,NA,-12.21,6.79,31.2,28.3,3.342861804649192,2.71,0.9988816381214108,0.1,28.268350358835928,0.46045447477874507,-4.417810673477155e-4,-0.09769392308007396,FALSE,FALSE,FALSE,FALSE,TRUE
cercopithecus campbelli,Cercopithecus campbelli,Cercopithecus campbelli,cercopithecus campbelli,cercopithecus campbelli,1,1,1,FALSE,50,1,50,50,33,1,1,FALSE,primates,FALSE,arboreal,FALSE,8.53,NA,8.53,NA,4.35,12.7,30,33,3.4965075614664802,8.53,0.9889383349666097,0.1,32.63496505389812,0.46045447477874507,0.4311723342254076,0.2655708737423538,FALSE,FALSE,FALSE,FALSE,TRUE
cercopithecus cephus,Cercopithecus cephus,Cercopithecus cephus,cercopithecus cephus,cercopithecus cephus,1,1,1,FALSE,50,1,50,50,23,1,1,FALSE,primates,FALSE,arboreal,FALSE,0.42,NA,-0.42,NA,-6.05,5.2,36,23,3.1354942159291497,0.42000000000000004,0.9999731328638829,0.1,22.999382055869308,0.46045447477874507,-0.5212482298621429,-0.5073329492840883,FALSE,FALSE,FALSE,FALSE,TRUE
cercopithecus diana,Cercopithecus diana,Cercopithecus diana,cercopithecus diana,cercopithecus diana,1,1,1,FALSE,50,1,50,50,37.3,1,1,FALSE,primates,FALSE,arboreal,FALSE,6.65,NA,6.65,NA,4.35,8.95,35.1,37.3,3.6189933266497696,6.6499999999999995,0.9932720857793921,0.1,37.049048799571324,0.46045447477874507,0.8674784852744724,0.5979195176437238,FALSE,FALSE,FALSE,FALSE,TRUE
cercopithecus erythrogaster,Cercopithecus erythrogaster,Cercopithecus erythrogaster,cercopithecus erythrogaster,cercopithecus erythrogaster,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,6.06,NA,6.06,NA,4.45,7.66,24,24,3.1780538303479458,6.06,0.9944118881299167,0.1,23.865885315118,0.46045447477874507,-0.4355994919366671,-0.43004256698144416,FALSE,FALSE,FALSE,FALSE,TRUE
cercopithecus hamlyni,Cercopithecus hamlyni,Cercopithecus hamlyni,cercopithecus hamlyni,cercopithecus hamlyni,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,1.75,NA,-1.75,NA,-6.02,2.5,28.6,28.6,3.353406717825807,1.75,0.9995335908367129,0.1,28.58666069792999,0.46045447477874507,0.03102131906648801,-0.07450680838928064,FALSE,FALSE,FALSE,FALSE,TRUE
cercopithecus lhoesti,Cercopithecus lhoesti,Cercopithecus lhoesti,cercopithecus lhoesti,cercopithecus lhoesti,1,1,1,FALSE,50,1,50,50,16,1,1,FALSE,primates,FALSE,arboreal,FALSE,1.13,NA,-1.13,NA,-6.02,3.74,NA,16,2.772588722239781,1.1300000000000001,0.9998055233121944,0.1,15.99688837299511,0.46045447477874507,-1.213403440898872,-1.048365625402598,FALSE,FALSE,FALSE,FALSE,TRUE
