tree_tip_raw,tree_tip_display,tree_tip_clean_original,tree_tip_clean,was_remapped
Nomascus_gabriellae,Nomascus gabriellae,nomascus gabriellae,nomascus gabriellae,FALSE
Nomascus_leucogenys,Nomascus leucogenys,nomascus leucogenys,nomascus leucogenys,FALSE
Nomascus_nasutus,Nomascus nasutus,nomascus nasutus,nomascus nasutus,FALSE
Nomascus_siki,Nomascus siki,nomascus siki,nomascus siki,FALSE
Nycticebus_bengalensis,Nycticebus bengalensis,nycticebus bengalensis,nycticebus bengalensis,FALSE
Nycticebus_coucang,Nycticebus coucang,nycticebus coucang,nycticebus coucang,FALSE
Nycticebus_javanicus,Nycticebus javanicus,nycticebus javanicus,nycticebus javanicus,FALSE
Nycticebus_menagensis,Nycticebus menagensis,nycticebus menagensis,nycticebus menagensis,FALSE
Nycticebus_pygmaeus,Nycticebus pygmaeus,nycticebus pygmaeus,nycticebus pygmaeus,FALSE
Otolemur_crassicaudatus,Otolemur crassicaudatus,otolemur crassicaudatus,otolemur crassicaudatus,FALSE
Otolemur_garnettii,Otolemur garnettii,otolemur garnettii,otolemur garnettii,FALSE
Pan_paniscus,Pan paniscus,pan paniscus,pan paniscus,FALSE
Pan_troglodytes_schweinfurthii,Pan troglodytes schweinfurthii,pan troglodytes,pan troglodytes,FALSE
Pan_troglodytes_troglodytes,Pan troglodytes troglodytes,pan troglodytes,pan troglodytes,FALSE
Pan_troglodytes_vellerosus,Pan troglodytes vellerosus,pan troglodytes,pan troglodytes,FALSE
Pan_troglodytes_verus,Pan troglodytes verus,pan troglodytes,pan troglodytes,FALSE
Papio_anubis,Papio anubis,papio anubis,papio anubis,FALSE
Papio_cynocephalus,Papio cynocephalus,papio cynocephalus,papio cynocephalus,FALSE
