tree_tip_raw,tree_tip_display,tree_tip_clean
piliocolobus foai,piliocolobus foai,piliocolobus foai
piliocolobus gordonorum,piliocolobus gordonorum,piliocolobus gordonorum
piliocolobus kirkii,piliocolobus kirkii,piliocolobus kirkii
piliocolobus pennantii,piliocolobus pennantii,piliocolobus pennantii
piliocolobus preussi,piliocolobus preussi,piliocolobus preussi
piliocolobus rufomitratus,piliocolobus rufomitratus,piliocolobus rufomitratus
piliocolobus tephrosceles,piliocolobus tephrosceles,piliocolobus tephrosceles
piliocolobus tholloni,piliocolobus tholloni,piliocolobus tholloni
pithecia irrorata,pithecia irrorata,pithecia irrorata
pongo abelii,pongo abelii,pongo abelii
presbytis comata,presbytis comata,presbytis comata
procolobus verus,procolobus verus,procolobus verus
propithecus coquereli,propithecus coquereli,propithecus coquereli
propithecus deckenii,propithecus deckenii,propithecus deckenii
propithecus edwardsi,propithecus edwardsi,propithecus edwardsi
pygathrix cinerea,pygathrix cinerea,pygathrix cinerea
rhinopithecus avunculus,rhinopithecus avunculus,rhinopithecus avunculus
rhinopithecus bieti,rhinopithecus bieti,rhinopithecus bieti
rhinopithecus brelichi,rhinopithecus brelichi,rhinopithecus brelichi
rungwecebus kipunji,rungwecebus kipunji,rungwecebus kipunji
saguinus niger,saguinus niger,saguinus niger
saguinus tripartitus,saguinus tripartitus,saguinus tripartitus
saimiri oerstedii,saimiri oerstedii,saimiri oerstedii
saimiri ustus,saimiri ustus,saimiri ustus
tarsius bancanus,tarsius bancanus,tarsius bancanus
tarsius dentatus,tarsius dentatus,tarsius dentatus
tarsius lariang,tarsius lariang,tarsius lariang
tarsius syrichta,tarsius syrichta,tarsius syrichta
trachypithecus delacouri,trachypithecus delacouri,trachypithecus delacouri
trachypithecus geei,trachypithecus geei,trachypithecus geei
trachypithecus germaini,trachypithecus germaini,trachypithecus germaini
trachypithecus johnii,trachypithecus johnii,trachypithecus johnii
trachypithecus laotum,trachypithecus laotum,trachypithecus laotum
trachypithecus poliocephalus,trachypithecus poliocephalus,trachypithecus poliocephalus
