tree_tip_raw,tree_tip_display,tree_tip_clean
Erythrocebus_patas,Erythrocebus patas,erythrocebus patas
Eulemur_coronatus,Eulemur coronatus,eulemur coronatus
Eulemur_fulvus_albifrons,Eulemur fulvus albifrons,eulemur fulvus
Eulemur_fulvus_albocollaris,Eulemur fulvus albocollaris,eulemur fulvus
Eulemur_fulvus_collaris,Eulemur fulvus collaris,eulemur fulvus
Eulemur_fulvus_fulvus,Eulemur fulvus fulvus,eulemur fulvus
Eulemur_fulvus_mayottensis,Eulemur fulvus mayottensis,eulemur fulvus
Eulemur_fulvus_rufus,Eulemur fulvus rufus,eulemur fulvus
Eulemur_fulvus_sanfordi,Eulemur fulvus sanfordi,eulemur fulvus
Eulemur_macaco_flavifrons,Eulemur macaco flavifrons,eulemur macaco
Eulemur_macaco_macaco,Eulemur macaco macaco,eulemur macaco
Eulemur_mongoz,Eulemur mongoz,eulemur mongoz
Eulemur_rubriventer,Eulemur rubriventer,eulemur rubriventer
Euoticus_elegantulus,Euoticus elegantulus,euoticus elegantulus
Galago_alleni,Galago alleni,galago alleni
Galago_gallarum,Galago gallarum,galago gallarum
Galago_granti,Galago granti,galago granti
Galago_matschiei,Galago matschiei,galago matschiei
Galago_moholi,Galago moholi,galago moholi
Galago_senegalensis,Galago senegalensis,galago senegalensis
Galagoides_demidoff,Galagoides demidoff,galagoides demidoff
Galagoides_zanzibaricus,Galagoides zanzibaricus,galagoides zanzibaricus
Gorilla_beringei,Gorilla beringei,gorilla beringei
Gorilla_gorilla_gorilla,Gorilla gorilla gorilla,gorilla gorilla
Gorilla_gorilla_graueri,Gorilla gorilla graueri,gorilla gorilla
Hapalemur_aureus,Hapalemur aureus,hapalemur aureus
Hapalemur_griseus,Hapalemur griseus,hapalemur griseus
Hapalemur_griseus_alaotrensis,Hapalemur griseus alaotrensis,hapalemur griseus
Hapalemur_griseus_griseus,Hapalemur griseus griseus,hapalemur griseus
Hapalemur_griseus_meridionalis,Hapalemur griseus meridionalis,hapalemur griseus
Hapalemur_griseus_occidentalis,Hapalemur griseus occidentalis,hapalemur griseus
Hapalemur_simus,Hapalemur simus,hapalemur simus
Homo_sapiens,Homo sapiens,homo sapiens
Homo_sapiens_neanderthalensis,Homo sapiens neanderthalensis,homo sapiens
Hylobates_agilis,Hylobates agilis,hylobates agilis
Hylobates_klossii,Hylobates klossii,hylobates klossii
Hylobates_lar,Hylobates lar,hylobates lar
Hylobates_moloch,Hylobates moloch,hylobates moloch
Hylobates_muelleri,Hylobates muelleri,hylobates muelleri
Hylobates_pileatus,Hylobates pileatus,hylobates pileatus
Indri_indri,Indri indri,indri indri
Lagothrix_lagotricha,Lagothrix lagotricha,lagothrix lagotricha
Lemur_catta,Lemur catta,lemur catta
Leontopithecus_chrysomelas,Leontopithecus chrysomelas,leontopithecus chrysomelas
Leontopithecus_chrysopygus,Leontopithecus chrysopygus,leontopithecus chrysopygus
Leontopithecus_rosalia,Leontopithecus rosalia,leontopithecus rosalia
Lepilemur_aeeclis,Lepilemur aeeclis,lepilemur aeeclis
Lepilemur_ankaranensis,Lepilemur ankaranensis,lepilemur ankaranensis
Lepilemur_dorsalis,Lepilemur dorsalis,lepilemur dorsalis
Lepilemur_edwardsi,Lepilemur edwardsi,lepilemur edwardsi
Lepilemur_hubbardorum,Lepilemur hubbardorum,lepilemur hubbardorum
Lepilemur_leucopus,Lepilemur leucopus,lepilemur leucopus
Lepilemur_manasamody,Lepilemur manasamody,lepilemur manasamody
Lepilemur_microdon,Lepilemur microdon,lepilemur microdon
Lepilemur_mitsinjoensis,Lepilemur mitsinjoensis,lepilemur mitsinjoensis
Lepilemur_mustelinus,Lepilemur mustelinus,lepilemur mustelinus
Lepilemur_otto,Lepilemur otto,lepilemur otto
Lepilemur_randrianasoli,Lepilemur randrianasoli,lepilemur randrianasoli
Lepilemur_ruficaudatus,Lepilemur ruficaudatus,lepilemur ruficaudatus
Lepilemur_sahamalazensis,Lepilemur sahamalazensis,lepilemur sahamalazensis
Lepilemur_seali,Lepilemur seali,lepilemur seali
Lepilemur_septentrionalis,Lepilemur septentrionalis,lepilemur septentrionalis
Lophocebus_albigena,Lophocebus albigena,lophocebus albigena
Lophocebus_aterrimus,Lophocebus aterrimus,lophocebus aterrimus
Loris_lydekkerianus,Loris lydekkerianus,loris lydekkerianus
Loris_tardigradus,Loris tardigradus,loris tardigradus
Macaca_arctoides,Macaca arctoides,macaca arctoides
Macaca_assamensis,Macaca assamensis,macaca assamensis
Macaca_brunnescens,Macaca brunnescens,macaca brunnescens
Macaca_cyclopis,Macaca cyclopis,macaca cyclopis
Macaca_fascicularis,Macaca fascicularis,macaca fascicularis
Macaca_fuscata,Macaca fuscata,macaca fuscata
Macaca_hecki,Macaca hecki,macaca hecki
Macaca_leonina,Macaca leonina,macaca leonina
Macaca_maura,Macaca maura,macaca maura
Macaca_mulatta,Macaca mulatta,macaca mulatta
Macaca_munzala,Macaca munzala,macaca munzala
Macaca_nemestrina,Macaca nemestrina,macaca nemestrina
Macaca_nemestrina_leonina,Macaca nemestrina leonina,macaca nemestrina
Macaca_nemestrina_siberu,Macaca nemestrina siberu,macaca nemestrina
Macaca_nigra,Macaca nigra,macaca nigra
Macaca_nigrescens,Macaca nigrescens,macaca nigrescens
Macaca_ochreata,Macaca ochreata,macaca ochreata
Macaca_pagensis,Macaca pagensis,macaca pagensis
Macaca_radiata,Macaca radiata,macaca radiata
Macaca_silenus,Macaca silenus,macaca silenus
Macaca_sinica,Macaca sinica,macaca sinica
Macaca_sylvanus,Macaca sylvanus,macaca sylvanus
Macaca_thibetana,Macaca thibetana,macaca thibetana
Macaca_tonkeana,Macaca tonkeana,macaca tonkeana
Mandrillus_leucophaeus,Mandrillus leucophaeus,mandrillus leucophaeus
Mandrillus_sphinx,Mandrillus sphinx,mandrillus sphinx
Microcebus_berthae,Microcebus berthae,microcebus berthae
Microcebus_bongolavensis,Microcebus bongolavensis,microcebus bongolavensis
Microcebus_danfossi,Microcebus danfossi,microcebus danfossi
Microcebus_griseorufus,Microcebus griseorufus,microcebus griseorufus
Microcebus_jollyae,Microcebus jollyae,microcebus jollyae
Microcebus_lehilahytsara,Microcebus lehilahytsara,microcebus lehilahytsara
Microcebus_lokobensis,Microcebus lokobensis,microcebus lokobensis
Microcebus_macarthurii,Microcebus macarthurii,microcebus macarthurii
Microcebus_mamiratra,Microcebus mamiratra,microcebus mamiratra
Microcebus_mittermeieri,Microcebus mittermeieri,microcebus mittermeieri
Microcebus_murinus,Microcebus murinus,microcebus murinus
Microcebus_myoxinus,Microcebus myoxinus,microcebus myoxinus
Microcebus_ravelobensis,Microcebus ravelobensis,microcebus ravelobensis
Microcebus_rufus,Microcebus rufus,microcebus rufus
Microcebus_sambiranensis,Microcebus sambiranensis,microcebus sambiranensis
Microcebus_simmonsi,Microcebus simmonsi,microcebus simmonsi
Microcebus_tavaratra,Microcebus tavaratra,microcebus tavaratra
Miopithecus_talapoin,Miopithecus talapoin,miopithecus talapoin
Mirza_coquereli,Mirza coquereli,mirza coquereli
Mirza_zaza,Mirza zaza,mirza zaza
Nasalis_larvatus,Nasalis larvatus,nasalis larvatus
Nomascus_concolor,Nomascus concolor,nomascus concolor
Nomascus_gabriellae,Nomascus gabriellae,nomascus gabriellae
Nomascus_leucogenys,Nomascus leucogenys,nomascus leucogenys
Nomascus_nasutus,Nomascus nasutus,nomascus nasutus
Nomascus_siki,Nomascus siki,nomascus siki
Nycticebus_bengalensis,Nycticebus bengalensis,nycticebus bengalensis
Nycticebus_coucang,Nycticebus coucang,nycticebus coucang
Nycticebus_javanicus,Nycticebus javanicus,nycticebus javanicus
Nycticebus_menagensis,Nycticebus menagensis,nycticebus menagensis
Nycticebus_pygmaeus,Nycticebus pygmaeus,nycticebus pygmaeus
Otolemur_crassicaudatus,Otolemur crassicaudatus,otolemur crassicaudatus
Otolemur_garnettii,Otolemur garnettii,otolemur garnettii
Pan_paniscus,Pan paniscus,pan paniscus
Pan_troglodytes_schweinfurthii,Pan troglodytes schweinfurthii,pan troglodytes
Pan_troglodytes_troglodytes,Pan troglodytes troglodytes,pan troglodytes
Pan_troglodytes_vellerosus,Pan troglodytes vellerosus,pan troglodytes
Pan_troglodytes_verus,Pan troglodytes verus,pan troglodytes
Papio_anubis,Papio anubis,papio anubis
Papio_cynocephalus,Papio cynocephalus,papio cynocephalus
Papio_hamadryas,Papio hamadryas,papio hamadryas
Papio_papio,Papio papio,papio papio
Papio_ursinus,Papio ursinus,papio ursinus
Perodicticus_potto,Perodicticus potto,perodicticus potto
Phaner_furcifer,Phaner furcifer,phaner furcifer
Phaner_furcifer_pallescens,Phaner furcifer pallescens,phaner furcifer
Piliocolobus_badius,Piliocolobus badius,piliocolobus badius
Piliocolobus_foai,Piliocolobus foai,piliocolobus foai
Piliocolobus_gordonorum,Piliocolobus gordonorum,piliocolobus gordonorum
Piliocolobus_kirkii,Piliocolobus kirkii,piliocolobus kirkii
Piliocolobus_pennantii,Piliocolobus pennantii,piliocolobus pennantii
Piliocolobus_preussi,Piliocolobus preussi,piliocolobus preussi
Piliocolobus_rufomitratus,Piliocolobus rufomitratus,piliocolobus rufomitratus
Piliocolobus_tephrosceles,Piliocolobus tephrosceles,piliocolobus tephrosceles
Piliocolobus_tholloni,Piliocolobus tholloni,piliocolobus tholloni
Pithecia_irrorata,Pithecia irrorata,pithecia irrorata
Pithecia_pithecia,Pithecia pithecia,pithecia pithecia
Pongo_abelii,Pongo abelii,pongo abelii
Pongo_pygmaeus,Pongo pygmaeus,pongo pygmaeus
Presbytis_comata,Presbytis comata,presbytis comata
Presbytis_melalophos,Presbytis melalophos,presbytis melalophos
Procolobus_verus,Procolobus verus,procolobus verus
Propithecus_coquereli,Propithecus coquereli,propithecus coquereli
Propithecus_deckenii,Propithecus deckenii,propithecus deckenii
Propithecus_diadema,Propithecus diadema,propithecus diadema
Propithecus_edwardsi,Propithecus edwardsi,propithecus edwardsi
Propithecus_tattersalli,Propithecus tattersalli,propithecus tattersalli
Propithecus_verreauxi,Propithecus verreauxi,propithecus verreauxi
Pygathrix_cinerea,Pygathrix cinerea,pygathrix cinerea
Pygathrix_nemaeus,Pygathrix nemaeus,pygathrix nemaeus
Rhinopithecus_avunculus,Rhinopithecus avunculus,rhinopithecus avunculus
Rhinopithecus_bieti,Rhinopithecus bieti,rhinopithecus bieti
Rhinopithecus_brelichi,Rhinopithecus brelichi,rhinopithecus brelichi
Rhinopithecus_roxellana,Rhinopithecus roxellana,rhinopithecus roxellana
Rungwecebus_kipunji,Rungwecebus kipunji,rungwecebus kipunji
Saguinus_bicolor,Saguinus bicolor,saguinus bicolor
Saguinus_fuscicollis,Saguinus fuscicollis,saguinus fuscicollis
Saguinus_fuscicollis_melanoleucus,Saguinus fuscicollis melanoleucus,saguinus fuscicollis
Saguinus_geoffroyi,Saguinus geoffroyi,saguinus geoffroyi
Saguinus_imperator,Saguinus imperator,saguinus imperator
Saguinus_leucopus,Saguinus leucopus,saguinus leucopus
Saguinus_midas,Saguinus midas,saguinus midas
Saguinus_mystax,Saguinus mystax,saguinus mystax
Saguinus_niger,Saguinus niger,saguinus niger
Saguinus_oedipus,Saguinus oedipus,saguinus oedipus
Saguinus_tripartitus,Saguinus tripartitus,saguinus tripartitus
Saimiri_boliviensis,Saimiri boliviensis,saimiri boliviensis
Saimiri_oerstedii,Saimiri oerstedii,saimiri oerstedii
Saimiri_sciureus,Saimiri sciureus,saimiri sciureus
Saimiri_ustus,Saimiri ustus,saimiri ustus
Semnopithecus_entellus,Semnopithecus entellus,semnopithecus entellus
Symphalangus_syndactylus,Symphalangus syndactylus,symphalangus syndactylus
Tarsius_bancanus,Tarsius bancanus,tarsius bancanus
Tarsius_dentatus,Tarsius dentatus,tarsius dentatus
Tarsius_lariang,Tarsius lariang,tarsius lariang
Tarsius_syrichta,Tarsius syrichta,tarsius syrichta
Theropithecus_gelada,Theropithecus gelada,theropithecus gelada
Trachypithecus_auratus,Trachypithecus auratus,trachypithecus auratus
Trachypithecus_cristatus,Trachypithecus cristatus,trachypithecus cristatus
Trachypithecus_delacouri,Trachypithecus delacouri,trachypithecus delacouri
Trachypithecus_francoisi,Trachypithecus francoisi,trachypithecus francoisi
Trachypithecus_geei,Trachypithecus geei,trachypithecus geei
Trachypithecus_germaini,Trachypithecus germaini,trachypithecus germaini
Trachypithecus_johnii,Trachypithecus johnii,trachypithecus johnii
Trachypithecus_laotum,Trachypithecus laotum,trachypithecus laotum
Trachypithecus_obscurus,Trachypithecus obscurus,trachypithecus obscurus
Trachypithecus_phayrei,Trachypithecus phayrei,trachypithecus phayrei
Trachypithecus_pileatus,Trachypithecus pileatus,trachypithecus pileatus
Trachypithecus_poliocephalus,Trachypithecus poliocephalus,trachypithecus poliocephalus
Trachypithecus_vetulus,Trachypithecus vetulus,trachypithecus vetulus
Varecia_rubra,Varecia rubra,varecia rubra
Varecia_variegata_variegata,Varecia variegata variegata,varecia variegata
