scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,was_merged
Saguinus oedipus,Saguinus oedipus,saguinus oedipus,saguinus oedipus,FALSE
Saguinus pileatus,Saguinus pileatus,saguinus pileatus,saguinus pileatus,FALSE
Saguinus tripartitus,Saguinus tripartitus,saguinus tripartitus,saguinus tripartitus,FALSE
Saimiri boliviensis,Saimiri boliviensis,saimiri boliviensis,saimiri boliviensis,FALSE
Saimiri oerstedii,Saimiri oerstedii,saimiri oerstedii,saimiri oerstedii,FALSE
Saimiri sciureus,Saimiri sciureus,saimiri sciureus,saimiri sciureus,FALSE
Saimiri ustus,Saimiri ustus,saimiri ustus,saimiri ustus,FALSE
Saimiri vanzolinii,Saimiri vanzolinii,saimiri vanzolinii,saimiri vanzolinii,FALSE
Allenopithecus nigroviridis,Allenopithecus nigroviridis,allenopithecus nigroviridis,allenopithecus nigroviridis,FALSE
Cercocebus agilis,Cercocebus agilis,cercocebus agilis,cercocebus agilis,FALSE
Cercocebus atys,Cercocebus atys,cercocebus atys,cercocebus atys,FALSE
Cercocebus chrysogaster,Cercocebus chrysogaster,cercocebus chrysogaster,cercocebus chrysogaster,FALSE
Cercocebus galeritus,Cercocebus galeritus,cercocebus galeritus,cercocebus galeritus,FALSE
Cercocebus sanjei,Cercocebus sanjei,cercocebus sanjei,cercocebus sanjei,FALSE
Cercocebus torquatus,Cercocebus torquatus,cercocebus torquatus,cercocebus torquatus,FALSE
Cercopithecus albogularis,Cercopithecus albogularis,cercopithecus albogularis,cercopithecus albogularis,FALSE
Cercopithecus ascanius,Cercopithecus ascanius,cercopithecus ascanius,cercopithecus ascanius,FALSE
Cercopithecus campbelli,Cercopithecus campbelli,cercopithecus campbelli,cercopithecus campbelli,FALSE
Cercopithecus cephus,Cercopithecus cephus,cercopithecus cephus,cercopithecus cephus,FALSE
Cercopithecus denti,Cercopithecus denti,cercopithecus denti,cercopithecus denti,FALSE
Cercopithecus diana,Cercopithecus diana,cercopithecus diana,cercopithecus diana,FALSE
