scientific_name_clean,scientific_name_raw,scientific_name_display,scientific_name_clean_original,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,diet_pct_fruit_n,diet_pct_fruit_min,diet_pct_fruit_max,max_longevity_years_pantheria,max_longevity_pantheria_n,included_in_core_non_nocturnal_build,included_in_core_conflict,order,order_conflict,foraging_stratum_eltontraits,foraging_stratum_conflict,abs_latitude_mid_dd,abs_latitude_mid_pantheria,lat_mid_dd_pantheria,lat_midrange_dd_pantheria,lat_min_dd_pantheria,lat_max_dd_pantheria
cacajao melanocephalus,Cacajao melanocephalus,Cacajao melanocephalus,cacajao melanocephalus,cacajao melanocephalus,1,1,0,FALSE,70,1,70,70,18,1,1,FALSE,Primates,FALSE,arboreal,FALSE,0.53,NA,0.53,NA,-2.95,4.03
callicebus baptista,Callicebus baptista,Callicebus baptista,callicebus baptista,callicebus baptista,1,1,0,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,3.16,NA,-3.16,NA,-3.95,-2.37
callicebus barbarabrownae,Callicebus barbarabrownae,Callicebus barbarabrownae,callicebus barbarabrownae,callicebus barbarabrownae,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,10.8,NA,-10.8,NA,-13.02,-8.57
callicebus bernhardi,Callicebus bernhardi,Callicebus bernhardi,callicebus bernhardi,callicebus bernhardi,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
callicebus brunneus,Callicebus brunneus,Callicebus brunneus,callicebus brunneus,callicebus brunneus,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,10.07,NA,-10.07,NA,-12.33,-7.82
callicebus caligatus,Callicebus caligatus,Callicebus caligatus,callicebus caligatus,callicebus caligatus,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
callicebus cinerascens,Callicebus cinerascens,Callicebus cinerascens,callicebus cinerascens,callicebus cinerascens,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,8.39,NA,-8.39,NA,-12.46,-4.32
callicebus coimbrai,Callicebus coimbrai,Callicebus coimbrai,callicebus coimbrai,callicebus coimbrai,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,10.81,NA,-10.81,NA,-11.61,-10.01
callicebus cupreus,Callicebus cupreus,Callicebus cupreus,callicebus cupreus,callicebus cupreus,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,6.58,NA,-6.58,NA,-10.67,-2.5
callicebus discolor,Callicebus discolor,Callicebus discolor,callicebus discolor,callicebus discolor,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
