scientific_name_clean,scientific_name_raw,scientific_name_display,scientific_name_clean_original,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,diet_pct_fruit_n,diet_pct_fruit_min,diet_pct_fruit_max,max_longevity_years_pantheria,max_longevity_pantheria_n,included_in_core_non_nocturnal_build,included_in_core_conflict,order,order_conflict,foraging_stratum_eltontraits,foraging_stratum_conflict,abs_latitude_mid_dd,abs_latitude_mid_pantheria,lat_mid_dd_pantheria,lat_midrange_dd_pantheria,lat_min_dd_pantheria,lat_max_dd_pantheria
cercopithecus lhoesti,Cercopithecus lhoesti,Cercopithecus lhoesti,cercopithecus lhoesti,cercopithecus lhoesti,1,1,1,FALSE,50,1,50,50,16,1,1,FALSE,Primates,FALSE,arboreal,FALSE,1.13,NA,-1.13,NA,-6.02,3.74
cercopithecus lowei,Cercopithecus lowei,Cercopithecus lowei,cercopithecus lowei,cercopithecus lowei,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,6.3,NA,6.3,NA,4.37,8.23
cercopithecus mitis,Cercopithecus mitis,Cercopithecus mitis,cercopithecus mitis,cercopithecus mitis,1,1,1,FALSE,50,1,50,50,27.1,1,1,FALSE,Primates,FALSE,arboreal,FALSE,1.9,NA,-1.9,NA,-15.82,12
cercopithecus mona,Cercopithecus mona,Cercopithecus mona,cercopithecus mona,cercopithecus mona,1,1,1,FALSE,50,1,50,50,30,1,1,FALSE,Primates,FALSE,arboreal,FALSE,6.83,NA,6.83,NA,3.58,10.08
cercopithecus neglectus,Cercopithecus neglectus,Cercopithecus neglectus,cercopithecus neglectus,cercopithecus neglectus,1,1,1,FALSE,50,1,50,50,26.3,1,1,FALSE,Primates,FALSE,arboreal,FALSE,1.11,NA,-1.11,NA,-10.71,8.48
cercopithecus nictitans,Cercopithecus nictitans,Cercopithecus nictitans,cercopithecus nictitans,cercopithecus nictitans,1,1,1,FALSE,50,1,50,50,23,1,1,FALSE,Primates,FALSE,arboreal,FALSE,1.69,NA,1.69,NA,-6.05,9.44
cercopithecus petaurista,Cercopithecus petaurista,Cercopithecus petaurista,cercopithecus petaurista,cercopithecus petaurista,1,1,1,FALSE,30,1,30,30,19,1,1,FALSE,Primates,FALSE,arboreal,FALSE,8.93,NA,8.93,NA,4.35,13.52
cercopithecus pogonias,Cercopithecus pogonias,Cercopithecus pogonias,cercopithecus pogonias,cercopithecus pogonias,1,1,1,FALSE,50,1,50,50,24.1,1,1,FALSE,Primates,FALSE,arboreal,FALSE,1.53,NA,1.53,NA,-6.05,9.13
cercopithecus preussi,Cercopithecus preussi,Cercopithecus preussi,cercopithecus preussi,cercopithecus preussi,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,4.78,NA,4.78,NA,3.14,6.42
cercopithecus roloway,Cercopithecus roloway,Cercopithecus roloway,cercopithecus roloway,cercopithecus roloway,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,5.97,NA,5.97,NA,4.73,7.2
cercopithecus sclateri,Cercopithecus sclateri,Cercopithecus sclateri,cercopithecus sclateri,cercopithecus sclateri,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,5.4,NA,5.4,NA,4.37,6.44
cercopithecus solatus,Cercopithecus solatus,Cercopithecus solatus,cercopithecus solatus,cercopithecus solatus,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,0.8,NA,-0.8,NA,-1.58,-0.03
cercopithecus wolfi,Cercopithecus wolfi,Cercopithecus wolfi,cercopithecus wolfi,cercopithecus wolfi,1,1,1,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,1.87,NA,-1.87,NA,-7.77,4.01
chiropotes albinasus,Chiropotes albinasus,Chiropotes albinasus,chiropotes albinasus,chiropotes albinasus,1,1,0,FALSE,40,1,40,40,17,1,1,FALSE,Primates,FALSE,arboreal,FALSE,8.41,NA,-8.41,NA,-15.04,-1.78
chiropotes chiropotes,Chiropotes chiropotes,Chiropotes chiropotes,chiropotes chiropotes,chiropotes chiropotes,1,1,0,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
chiropotes israelita,Chiropotes israelita,Chiropotes israelita,chiropotes israelita,chiropotes israelita,1,1,0,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
chiropotes satanas,Chiropotes satanas,Chiropotes satanas,chiropotes satanas,chiropotes satanas,1,1,0,FALSE,40,1,40,40,18,1,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
chiropotes utahickae,Chiropotes utahickae,Chiropotes utahickae,chiropotes utahickae,chiropotes utahickae,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
chlorocebus aethiops,Chlorocebus aethiops,Chlorocebus aethiops,chlorocebus aethiops,chlorocebus aethiops,1,1,1,FALSE,40,1,40,40,31.6,1,1,FALSE,Primates,FALSE,scansorial,FALSE,12.6,NA,12.6,NA,5.71,19.5
chlorocebus cynosuros,Chlorocebus cynosuros,Chlorocebus cynosuros,chlorocebus cynosuros,chlorocebus cynosuros,1,1,1,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,10.22,NA,-10.22,NA,-19.05,-1.38
chlorocebus djamdjamensis,Chlorocebus djamdjamensis,Chlorocebus djamdjamensis,chlorocebus djamdjamensis,chlorocebus djamdjamensis,1,1,1,FALSE,10,1,10,10,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,6.7,NA,6.7,NA,5.5,7.91
chlorocebus pygerythrus,Chlorocebus pygerythrus,Chlorocebus pygerythrus,chlorocebus pygerythrus,chlorocebus pygerythrus,1,1,1,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,13.19,NA,-13.19,NA,-34.83,8.45
chlorocebus sabaeus,Chlorocebus sabaeus,Chlorocebus sabaeus,chlorocebus sabaeus,chlorocebus sabaeus,1,1,1,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,11.44,NA,11.44,NA,6.19,16.7
chlorocebus tantalus,Chlorocebus tantalus,Chlorocebus tantalus,chlorocebus tantalus,chlorocebus tantalus,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,7.17,NA,7.17,NA,-2.71,17.07
colobus angolensis,Colobus angolensis,Colobus angolensis,colobus angolensis,colobus angolensis,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,4.16,NA,-4.16,NA,-12.71,4.38
colobus guereza,Colobus guereza,Colobus guereza,colobus guereza,colobus guereza,1,1,1,FALSE,30,1,30,30,24.5,1,1,FALSE,Primates,FALSE,arboreal,FALSE,5.15,NA,5.15,NA,-4.09,14.41
colobus polykomos,Colobus polykomos,Colobus polykomos,colobus polykomos,colobus polykomos,1,1,1,FALSE,30,1,30,30,30.5,1,1,FALSE,Primates,FALSE,arboreal,FALSE,9.06,NA,9.06,NA,4.35,13.78
colobus satanas,Colobus satanas,Colobus satanas,colobus satanas,colobus satanas,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,1.97,NA,1.97,NA,-1.2,5.15
colobus vellerosus,Colobus vellerosus,Colobus vellerosus,colobus vellerosus,colobus vellerosus,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,7.44,NA,7.44,NA,4.73,10.15
erythrocebus patas,Erythrocebus patas,Erythrocebus patas,erythrocebus patas,erythrocebus patas,1,1,1,FALSE,40,1,40,40,23.9,1,1,FALSE,Primates,FALSE,ground,FALSE,7.97,NA,7.97,NA,-3.98,19.93
eulemur albifrons,Eulemur albifrons,Eulemur albifrons,eulemur albifrons,eulemur albifrons,1,1,0,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,15.5,NA,-15.5,NA,-17.37,-13.62
eulemur albocollaris,Eulemur albocollaris,Eulemur albocollaris,eulemur albocollaris,eulemur albocollaris,1,1,0,FALSE,80,1,80,80,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,22.9,NA,-22.9,NA,-23.14,-22.66
eulemur cinereiceps,Eulemur cinereiceps,Eulemur cinereiceps,eulemur cinereiceps,eulemur cinereiceps,1,1,0,FALSE,80,1,80,80,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,13.37,NA,-13.37,NA,-13.42,-13.31
eulemur collaris,Eulemur collaris,Eulemur collaris,eulemur collaris,eulemur collaris,1,1,0,FALSE,100,1,100,100,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,24.08,NA,-24.08,NA,-25.17,-22.98
eulemur coronatus,Eulemur coronatus,Eulemur coronatus,eulemur coronatus,eulemur coronatus,1,1,0,FALSE,30,1,30,30,18.4,1,1,FALSE,Primates,FALSE,arboreal,FALSE,13.06,NA,-13.06,NA,-13.81,-12.3
eulemur fulvus,Eulemur fulvus,Eulemur fulvus,eulemur fulvus,eulemur fulvus,1,1,0,FALSE,30,1,30,30,37,1,1,FALSE,Primates,FALSE,arboreal,FALSE,16.64,NA,-16.64,NA,-19.99,-13.29
eulemur macaco,Eulemur macaco,Eulemur macaco,eulemur macaco,eulemur macaco,1,1,0,FALSE,30,1,30,30,30,1,1,FALSE,Primates,FALSE,arboreal,FALSE,13.94,NA,-13.94,NA,-14.58,-13.31
eulemur mongoz,Eulemur mongoz,Eulemur mongoz,eulemur mongoz,eulemur mongoz,1,1,0,FALSE,20,1,20,20,30,1,1,FALSE,Primates,FALSE,arboreal,FALSE,16.11,NA,-16.11,NA,-16.54,-15.68
eulemur rubriventer,Eulemur rubriventer,Eulemur rubriventer,eulemur rubriventer,eulemur rubriventer,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,18.45,NA,-18.45,NA,-23.11,-13.8
eulemur rufus,Eulemur rufus,Eulemur rufus,eulemur rufus,eulemur rufus,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,19.51,NA,-19.51,NA,-23.08,-15.93
eulemur sanfordi,Eulemur sanfordi,Eulemur sanfordi,eulemur sanfordi,eulemur sanfordi,1,1,0,FALSE,80,1,80,80,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,12.78,NA,-12.78,NA,-13.31,-12.25
gorilla beringei,Gorilla beringei,Gorilla beringei,gorilla beringei,gorilla beringei,1,1,1,FALSE,10,1,10,10,NA,0,1,FALSE,Primates,FALSE,ground,FALSE,1.78,NA,-1.78,NA,-3.82,0.25
gorilla gorilla,Gorilla gorilla,Gorilla gorilla,gorilla gorilla,gorilla gorilla,1,1,1,FALSE,10,1,10,10,54,1,1,FALSE,Primates,FALSE,ground,FALSE,0.88,NA,0.88,NA,-6.05,7.82
hapalemur alaotrensis,Hapalemur alaotrensis,Hapalemur alaotrensis,hapalemur alaotrensis,hapalemur alaotrensis,1,1,0,FALSE,0,1,0,0,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,17.5,NA,-17.5,NA,-17.68,-17.32
hapalemur aureus,Hapalemur aureus,Hapalemur aureus,hapalemur aureus,hapalemur aureus,1,1,0,FALSE,0,1,0,0,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,21.66,NA,-21.66,NA,-22.59,-20.72
hapalemur griseus,Hapalemur griseus,Hapalemur griseus,hapalemur griseus,hapalemur griseus,1,1,0,FALSE,0,1,0,0,17.099999999999998,1,1,FALSE,Primates,FALSE,arboreal,FALSE,19.45,NA,-19.45,NA,-25.16,-13.75
hapalemur occidentalis,Hapalemur occidentalis,Hapalemur occidentalis,hapalemur occidentalis,hapalemur occidentalis,1,1,0,FALSE,0,1,0,0,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,16.32,NA,-16.32,NA,-19.47,-13.18
homo sapiens,Homo sapiens,Homo sapiens,homo sapiens,homo sapiens,1,1,1,FALSE,60,1,60,60,122.5,1,1,FALSE,Primates,FALSE,ground,FALSE,NA,NA,NA,NA,NA,NA
hylobates agilis,Hylobates agilis,Hylobates agilis,hylobates agilis,hylobates agilis,1,1,1,FALSE,70,1,70,70,44,1,1,FALSE,Primates,FALSE,arboreal,FALSE,0.16,NA,0.16,NA,-5.94,6.27
hylobates albibarbis,Hylobates albibarbis,Hylobates albibarbis,hylobates albibarbis,hylobates albibarbis,1,1,1,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,1.63,NA,-1.63,NA,-3.57,0.29
hylobates klossii,Hylobates klossii,Hylobates klossii,hylobates klossii,hylobates klossii,1,1,1,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,2.13,NA,-2.13,NA,-3.34,-0.91
hylobates lar,Hylobates lar,Hylobates lar,hylobates lar,hylobates lar,1,1,1,FALSE,70,1,70,70,40,1,1,FALSE,Primates,FALSE,arboreal,FALSE,13.68,NA,13.68,NA,1.87,25.5
hylobates moloch,Hylobates moloch,Hylobates moloch,hylobates moloch,hylobates moloch,1,1,1,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,7,NA,-7,NA,-7.52,-6.49
hylobates muelleri,Hylobates muelleri,Hylobates muelleri,hylobates muelleri,hylobates muelleri,1,1,1,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,1.13,NA,1.13,NA,-4.18,6.45
hylobates pileatus,Hylobates pileatus,Hylobates pileatus,hylobates pileatus,hylobates pileatus,1,1,1,FALSE,70,1,70,70,36,1,1,FALSE,Primates,FALSE,arboreal,FALSE,12.92,NA,12.92,NA,10.48,15.35
indri indri,Indri indri,Indri indri,indri indri,indri indri,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,17.23,NA,-17.23,NA,-19.81,-14.65
lagothrix cana,Lagothrix cana,Lagothrix cana,lagothrix cana,lagothrix cana,1,1,0,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,8.39,NA,-8.39,NA,-14.39,-2.38
lagothrix lagotricha,Lagothrix lagotricha,Lagothrix lagotricha,lagothrix lagotricha,lagothrix lagotricha,1,1,0,FALSE,70,1,70,70,30,1,1,FALSE,Primates,FALSE,arboreal,FALSE,0.02,NA,0.02,NA,-4.2,4.25
lagothrix lugens,Lagothrix lugens,Lagothrix lugens,lagothrix lugens,lagothrix lugens,1,1,0,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,3.55,NA,3.55,NA,-0.15,7.25
lagothrix poeppigii,Lagothrix poeppigii,Lagothrix poeppigii,lagothrix poeppigii,lagothrix poeppigii,1,1,0,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,5.22,NA,-5.22,NA,-10.58,0.12
lemur catta,Lemur catta,Lemur catta,lemur catta,lemur catta,1,1,0,FALSE,80,1,80,80,30,1,1,FALSE,Primates,FALSE,scansorial,FALSE,23.05,NA,-23.05,NA,-25.6,-20.49
leontopithecus caissara,Leontopithecus caissara,Leontopithecus caissara,leontopithecus caissara,leontopithecus caissara,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,25.68,NA,-25.68,NA,-26.09,-25.28
leontopithecus chrysomelas,Leontopithecus chrysomelas,Leontopithecus chrysomelas,leontopithecus chrysomelas,leontopithecus chrysomelas,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,15.01,NA,-15.01,NA,-16.03,-13.99
leontopithecus chrysopygus,Leontopithecus chrysopygus,Leontopithecus chrysopygus,leontopithecus chrysopygus,leontopithecus chrysopygus,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,21.99,NA,-21.99,NA,-23.58,-20.39
leontopithecus rosalia,Leontopithecus rosalia,Leontopithecus rosalia,leontopithecus rosalia,leontopithecus rosalia,1,1,0,FALSE,50,1,50,50,24.8,1,1,FALSE,Primates,FALSE,arboreal,FALSE,22.1,NA,-22.1,NA,-22.99,-21.2
lophocebus albigena,Lophocebus albigena,Lophocebus albigena,lophocebus albigena,lophocebus albigena,1,1,1,FALSE,50,1,50,50,32.7,1,1,FALSE,Primates,FALSE,arboreal,FALSE,0.22,NA,0.22,NA,-6.02,6.46
lophocebus aterrimus,Lophocebus aterrimus,Lophocebus aterrimus,lophocebus aterrimus,lophocebus aterrimus,1,1,1,FALSE,40,1,40,40,26.8,1,1,FALSE,Primates,FALSE,arboreal,FALSE,1.65,NA,-1.65,NA,-5.3,1.99
lophocebus opdenboschi,Lophocebus opdenboschi,Lophocebus opdenboschi,lophocebus opdenboschi,lophocebus opdenboschi,1,1,1,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,4.7,NA,-4.7,NA,-6.26,-3.13
macaca arctoides,Macaca arctoides,Macaca arctoides,macaca arctoides,macaca arctoides,1,1,1,FALSE,30,1,30,30,30,1,1,FALSE,Primates,FALSE,scansorial,FALSE,17.16,NA,17.16,NA,5.87,28.45
macaca assamensis,Macaca assamensis,Macaca assamensis,macaca assamensis,macaca assamensis,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,23.01,NA,23.01,NA,14.93,31.08
macaca cyclopis,Macaca cyclopis,Macaca cyclopis,macaca cyclopis,macaca cyclopis,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,23.91,NA,23.91,NA,22.96,24.86
macaca fascicularis,Macaca fascicularis,Macaca fascicularis,macaca fascicularis,macaca fascicularis,1,1,1,FALSE,40,1,40,40,38,1,1,FALSE,Primates,FALSE,scansorial,FALSE,4.13,NA,4.13,NA,-10.37,18.65
macaca fuscata,Macaca fuscata,Macaca fuscata,macaca fuscata,macaca fuscata,1,1,1,FALSE,30,1,30,30,33,1,1,FALSE,Primates,FALSE,scansorial,FALSE,35.88,NA,35.88,NA,30.22,41.54
macaca hecki,Macaca hecki,Macaca hecki,macaca hecki,macaca hecki,1,1,1,FALSE,60,1,60,60,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,0.64,NA,0.64,NA,-0.06,1.35
macaca leonina,Macaca leonina,Macaca leonina,macaca leonina,macaca leonina,1,1,1,FALSE,80,1,80,80,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,17.59,NA,17.59,NA,8,27.19
macaca maura,Macaca maura,Macaca maura,macaca maura,macaca maura,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,4.98,NA,-4.98,NA,-5.7,-4.25
macaca mulatta,Macaca mulatta,Macaca mulatta,macaca mulatta,macaca mulatta,1,1,1,FALSE,30,1,30,30,36,1,1,FALSE,Primates,FALSE,scansorial,FALSE,25.07,NA,25.07,NA,13.69,36.45
macaca nemestrina,Macaca nemestrina,Macaca nemestrina,macaca nemestrina,macaca nemestrina,1,1,1,FALSE,70,1,70,70,34.300000000000004,1,1,FALSE,Primates,FALSE,scansorial,FALSE,3.04,NA,3.04,NA,-4.89,10.98
macaca nigra,Macaca nigra,Macaca nigra,macaca nigra,macaca nigra,1,1,1,FALSE,70,1,70,70,18,1,1,FALSE,Primates,FALSE,scansorial,FALSE,1.01,NA,1.01,NA,0.27,1.75
macaca nigrescens,Macaca nigrescens,Macaca nigrescens,macaca nigrescens,macaca nigrescens,1,1,1,FALSE,80,1,80,80,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,0.61,NA,0.61,NA,0.27,0.96
macaca ochreata,Macaca ochreata,Macaca ochreata,macaca ochreata,macaca ochreata,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,4.7,NA,-4.7,NA,-5.7,-3.7
macaca pagensis,Macaca pagensis,Macaca pagensis,macaca pagensis,macaca pagensis,1,1,1,FALSE,60,1,60,60,30,1,1,FALSE,Primates,FALSE,scansorial,FALSE,2.68,NA,-2.68,NA,-3.34,-2.02
macaca radiata,Macaca radiata,Macaca radiata,macaca radiata,macaca radiata,1,1,1,FALSE,30,1,30,30,30,1,1,FALSE,Primates,FALSE,scansorial,FALSE,14.59,NA,14.59,NA,8.06,21.12
macaca siberu,Macaca siberu,Macaca siberu,macaca siberu,macaca siberu,1,1,1,FALSE,60,1,60,60,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,1.36,NA,-1.36,NA,-1.81,-0.91
macaca silenus,Macaca silenus,Macaca silenus,macaca silenus,macaca silenus,1,1,1,FALSE,30,1,30,30,40,1,1,FALSE,Primates,FALSE,scansorial,FALSE,13.19,NA,13.19,NA,10.21,16.17
macaca sinica,Macaca sinica,Macaca sinica,macaca sinica,macaca sinica,1,1,1,FALSE,30,1,30,30,35,1,1,FALSE,Primates,FALSE,scansorial,FALSE,7.87,NA,7.87,NA,5.91,9.83
macaca sylvanus,Macaca sylvanus,Macaca sylvanus,macaca sylvanus,macaca sylvanus,1,1,1,FALSE,30,1,30,30,22,1,1,FALSE,Primates,FALSE,scansorial,FALSE,34.21,NA,34.21,NA,31.5,36.92
macaca thibetana,Macaca thibetana,Macaca thibetana,macaca thibetana,macaca thibetana,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,28.38,NA,28.38,NA,23.72,33.04
macaca tonkeana,Macaca tonkeana,Macaca tonkeana,macaca tonkeana,macaca tonkeana,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,scansorial,FALSE,1.1,NA,-1.1,NA,-3.57,1.35
mandrillus leucophaeus,Mandrillus leucophaeus,Mandrillus leucophaeus,mandrillus leucophaeus,mandrillus leucophaeus,1,1,1,FALSE,40,1,40,40,33.4,1,1,FALSE,Primates,FALSE,scansorial,FALSE,5.21,NA,5.21,NA,3.2,7.22
mandrillus sphinx,Mandrillus sphinx,Mandrillus sphinx,mandrillus sphinx,mandrillus sphinx,1,1,1,FALSE,40,1,40,40,46.330000000000005,1,1,FALSE,Primates,FALSE,scansorial,FALSE,0.76,NA,-0.76,NA,-6.01,4.49
miopithecus ogouensis,Miopithecus ogouensis,Miopithecus ogouensis,miopithecus ogouensis,miopithecus ogouensis,1,1,1,FALSE,80,1,80,80,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,0.62,NA,-0.62,NA,-5.28,4.03
miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,miopithecus talapoin,miopithecus talapoin,1,1,1,FALSE,50,1,50,50,30.9,1,1,FALSE,Primates,FALSE,arboreal,FALSE,7.68,NA,-7.68,NA,-12.37,-3
nasalis larvatus,Nasalis larvatus,Nasalis larvatus,nasalis larvatus,nasalis larvatus,1,1,1,FALSE,20,1,20,20,21,1,1,FALSE,Primates,FALSE,scansorial,FALSE,1.42,NA,1.42,NA,-4.18,7.03
nomascus concolor,Nomascus concolor,Nomascus concolor,nomascus concolor,nomascus concolor,1,1,1,FALSE,80,1,80,80,44.1,1,1,FALSE,Primates,FALSE,arboreal,FALSE,22.7,NA,22.7,NA,20.09,25.32
nomascus gabriellae,Nomascus gabriellae,Nomascus gabriellae,nomascus gabriellae,nomascus gabriellae,1,1,1,FALSE,80,1,80,80,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,11.75,NA,11.75,NA,9.61,13.89
nomascus hainanus,Nomascus hainanus,Nomascus hainanus,nomascus hainanus,nomascus hainanus,1,1,1,FALSE,80,1,80,80,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,20.63,NA,20.63,NA,18.5,22.77
nomascus leucogenys,Nomascus leucogenys,Nomascus leucogenys,nomascus leucogenys,nomascus leucogenys,1,1,1,FALSE,80,1,80,80,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,20.91,NA,20.91,NA,18.07,23.75
nomascus siki,Nomascus siki,Nomascus siki,nomascus siki,nomascus siki,1,1,1,FALSE,80,1,80,80,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,17.56,NA,17.56,NA,15.35,19.77
oreonax flavicauda,Oreonax flavicauda,Oreonax flavicauda,oreonax flavicauda,oreonax flavicauda,1,1,0,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,7.89,NA,-7.89,NA,-9.51,-6.26
pan paniscus,Pan paniscus,Pan paniscus,pan paniscus,pan paniscus,1,1,1,FALSE,60,1,60,60,48,1,1,FALSE,Primates,FALSE,scansorial,FALSE,1.66,NA,-1.66,NA,-5,1.67
pan troglodytes,Pan troglodytes,Pan troglodytes,pan troglodytes,pan troglodytes,1,1,1,FALSE,60,1,60,60,60,1,1,FALSE,Primates,FALSE,scansorial,FALSE,2.2,NA,2.2,NA,-8.72,13.13
papio anubis,Papio anubis,Papio anubis,papio anubis,papio anubis,1,1,1,FALSE,20,1,20,20,25.2,1,1,FALSE,Primates,FALSE,ground,FALSE,8.04,NA,8.04,NA,-5.8,21.89
papio cynocephalus,Papio cynocephalus,Papio cynocephalus,papio cynocephalus,papio cynocephalus,1,1,1,FALSE,20,1,20,20,45,1,1,FALSE,Primates,FALSE,ground,FALSE,5.96,NA,-5.96,NA,-18.92,6.99
papio hamadryas,Papio hamadryas,Papio hamadryas,papio hamadryas,papio hamadryas,1,1,1,FALSE,0,1,0,0,37.5,1,1,FALSE,Primates,FALSE,ground,FALSE,12.72,NA,12.72,NA,8.03,17.42
papio papio,Papio papio,Papio papio,papio papio,papio papio,1,1,1,FALSE,20,1,20,20,40,1,1,FALSE,Primates,FALSE,ground,FALSE,10.83,NA,10.83,NA,8.51,13.16
papio ursinus,Papio ursinus,Papio ursinus,papio ursinus,papio ursinus,1,1,1,FALSE,40,1,40,40,45,1,1,FALSE,Primates,FALSE,ground,FALSE,24.42,NA,-24.42,NA,-34.83,-14.01
phaner furcifer,Phaner furcifer,Phaner furcifer,phaner furcifer,phaner furcifer,1,1,0,FALSE,0,1,0,0,12,1,1,FALSE,Primates,FALSE,arboreal,FALSE,15.35,NA,-15.35,NA,-15.93,-14.78
piliocolobus badius,Piliocolobus badius,Piliocolobus badius,piliocolobus badius,piliocolobus badius,1,1,1,FALSE,20,1,20,20,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,9.69,NA,9.69,NA,4.35,15.04
piliocolobus foai,Piliocolobus foai,Piliocolobus foai,piliocolobus foai,piliocolobus foai,1,1,1,FALSE,20,1,20,20,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,1.59,NA,-1.59,NA,-8.42,5.22
piliocolobus gordonorum,Piliocolobus gordonorum,Piliocolobus gordonorum,piliocolobus gordonorum,piliocolobus gordonorum,1,1,1,FALSE,20,1,20,20,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,8.49,NA,-8.49,NA,-9.2,-7.78
piliocolobus kirkii,Piliocolobus kirkii,Piliocolobus kirkii,piliocolobus kirkii,piliocolobus kirkii,1,1,1,FALSE,20,1,20,20,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,6.09,NA,-6.09,NA,-6.47,-5.71
piliocolobus pennantii,Piliocolobus pennantii,Piliocolobus pennantii,piliocolobus pennantii,piliocolobus pennantii,1,1,1,FALSE,20,1,20,20,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,0.95,NA,0.95,NA,-3.8,5.72
