scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,tree_tip_raw,tree_tip_display,in_tree
Colobus polykomos,Colobus polykomos,colobus polykomos,colobus polykomos,colobus polykomos,colobus polykomos,TRUE
Erythrocebus patas,Erythrocebus patas,erythrocebus patas,erythrocebus patas,erythrocebus patas,erythrocebus patas,TRUE
Eulemur coronatus,Eulemur coronatus,eulemur coronatus,eulemur coronatus,eulemur coronatus,eulemur coronatus,TRUE
Eulemur fulvus,Eulemur fulvus,eulemur fulvus,eulemur fulvus,eulemur fulvus,eulemur fulvus,TRUE
Eulemur macaco,Eulemur macaco,eulemur macaco,eulemur macaco,eulemur macaco,eulemur macaco,TRUE
Eulemur mongoz,Eulemur mongoz,eulemur mongoz,eulemur mongoz,eulemur mongoz,eulemur mongoz,TRUE
Eulemur rubriventer,Eulemur rubriventer,eulemur rubriventer,eulemur rubriventer,eulemur rubriventer,eulemur rubriventer,TRUE
Gorilla gorilla,Gorilla gorilla,gorilla gorilla,gorilla gorilla,gorilla gorilla,gorilla gorilla,TRUE
Hapalemur griseus,Hapalemur griseus,hapalemur griseus,hapalemur griseus,hapalemur griseus,hapalemur griseus,TRUE
Hylobates agilis,Hylobates agilis,hylobates agilis,hylobates agilis,hylobates agilis,hylobates agilis,TRUE
Hylobates klossii,Hylobates klossii,hylobates klossii,hylobates klossii,hylobates klossii,hylobates klossii,TRUE
Hylobates lar,Hylobates lar,hylobates lar,hylobates lar,hylobates lar,hylobates lar,TRUE
Hylobates moloch,Hylobates moloch,hylobates moloch,hylobates moloch,hylobates moloch,hylobates moloch,TRUE
Hylobates muelleri,Hylobates muelleri,hylobates muelleri,hylobates muelleri,hylobates muelleri,hylobates muelleri,TRUE
Hylobates pileatus,Hylobates pileatus,hylobates pileatus,hylobates pileatus,hylobates pileatus,hylobates pileatus,TRUE
Lagothrix lagotricha,Lagothrix lagotricha,lagothrix lagotricha,lagothrix lagotricha,lagothrix lagotricha,lagothrix lagotricha,TRUE
Lemur catta,Lemur catta,lemur catta,lemur catta,lemur catta,lemur catta,TRUE
Leontopithecus chrysomelas,Leontopithecus chrysomelas,leontopithecus chrysomelas,leontopithecus chrysomelas,leontopithecus chrysomelas,leontopithecus chrysomelas,TRUE
Leontopithecus chrysopygus,Leontopithecus chrysopygus,leontopithecus chrysopygus,leontopithecus chrysopygus,leontopithecus chrysopygus,leontopithecus chrysopygus,TRUE
Leontopithecus rosalia,Leontopithecus rosalia,leontopithecus rosalia,leontopithecus rosalia,leontopithecus rosalia,leontopithecus rosalia,TRUE
Lophocebus albigena,Lophocebus albigena,lophocebus albigena,lophocebus albigena,lophocebus albigena,lophocebus albigena,TRUE
Lophocebus aterrimus,Lophocebus aterrimus,lophocebus aterrimus,lophocebus aterrimus,lophocebus aterrimus,lophocebus aterrimus,TRUE
Macaca arctoides,Macaca arctoides,macaca arctoides,macaca arctoides,macaca arctoides,macaca arctoides,TRUE
Macaca assamensis,Macaca assamensis,macaca assamensis,macaca assamensis,macaca assamensis,macaca assamensis,TRUE
Macaca fascicularis,Macaca fascicularis,macaca fascicularis,macaca fascicularis,macaca fascicularis,macaca fascicularis,TRUE
Macaca fuscata,Macaca fuscata,macaca fuscata,macaca fuscata,macaca fuscata,macaca fuscata,TRUE
Macaca maura,Macaca maura,macaca maura,macaca maura,macaca maura,macaca maura,TRUE
Macaca mulatta,Macaca mulatta,macaca mulatta,macaca mulatta,macaca mulatta,macaca mulatta,TRUE
Macaca nemestrina,Macaca nemestrina,macaca nemestrina,macaca nemestrina,macaca nemestrina,macaca nemestrina,TRUE
Macaca nigra,Macaca nigra,macaca nigra,macaca nigra,macaca nigra,macaca nigra,TRUE
Macaca ochreata,Macaca ochreata,macaca ochreata,macaca ochreata,macaca ochreata,macaca ochreata,TRUE
Macaca pagensis,Macaca pagensis,macaca pagensis,macaca pagensis,macaca pagensis,macaca pagensis,TRUE
Macaca radiata,Macaca radiata,macaca radiata,macaca radiata,macaca radiata,macaca radiata,TRUE
Macaca silenus,Macaca silenus,macaca silenus,macaca silenus,macaca silenus,macaca silenus,TRUE
Macaca sinica,Macaca sinica,macaca sinica,macaca sinica,macaca sinica,macaca sinica,TRUE
Macaca sylvanus,Macaca sylvanus,macaca sylvanus,macaca sylvanus,macaca sylvanus,macaca sylvanus,TRUE
Macaca thibetana,Macaca thibetana,macaca thibetana,macaca thibetana,macaca thibetana,macaca thibetana,TRUE
Macaca tonkeana,Macaca tonkeana,macaca tonkeana,macaca tonkeana,macaca tonkeana,macaca tonkeana,TRUE
Mandrillus leucophaeus,Mandrillus leucophaeus,mandrillus leucophaeus,mandrillus leucophaeus,mandrillus leucophaeus,mandrillus leucophaeus,TRUE
Mandrillus sphinx,Mandrillus sphinx,mandrillus sphinx,mandrillus sphinx,mandrillus sphinx,mandrillus sphinx,TRUE
Miopithecus talapoin,Miopithecus talapoin,miopithecus talapoin,miopithecus talapoin,miopithecus talapoin,miopithecus talapoin,TRUE
Nasalis larvatus,Nasalis larvatus,nasalis larvatus,nasalis larvatus,nasalis larvatus,nasalis larvatus,TRUE
Nomascus concolor,Nomascus concolor,nomascus concolor,nomascus concolor,nomascus concolor,nomascus concolor,TRUE
Nomascus leucogenys,Nomascus leucogenys,nomascus leucogenys,nomascus leucogenys,nomascus leucogenys,nomascus leucogenys,TRUE
Pan paniscus,Pan paniscus,pan paniscus,pan paniscus,pan paniscus,pan paniscus,TRUE
Pan troglodytes,Pan troglodytes,pan troglodytes,pan troglodytes,pan troglodytes,pan troglodytes,TRUE
Papio anubis,Papio anubis,papio anubis,papio anubis,papio anubis,papio anubis,TRUE
Papio cynocephalus,Papio cynocephalus,papio cynocephalus,papio cynocephalus,papio cynocephalus,papio cynocephalus,TRUE
Papio hamadryas,Papio hamadryas,papio hamadryas,papio hamadryas,papio hamadryas,papio hamadryas,TRUE
Papio papio,Papio papio,papio papio,papio papio,papio papio,papio papio,TRUE
Papio ursinus,Papio ursinus,papio ursinus,papio ursinus,papio ursinus,papio ursinus,TRUE
Phaner furcifer,Phaner furcifer,phaner furcifer,phaner furcifer,phaner furcifer,phaner furcifer,TRUE
Pithecia aequatorialis,Pithecia aequatorialis,pithecia aequatorialis,pithecia aequatorialis,pithecia aequatorialis,pithecia aequatorialis,TRUE
Pithecia monachus,Pithecia monachus,pithecia monachus,pithecia monachus,pithecia monachus,pithecia monachus,TRUE
Pithecia pithecia,Pithecia pithecia,pithecia pithecia,pithecia pithecia,pithecia pithecia,pithecia pithecia,TRUE
Pongo pygmaeus,Pongo pygmaeus,pongo pygmaeus,pongo pygmaeus,pongo pygmaeus,pongo pygmaeus,TRUE
Presbytis melalophos,Presbytis melalophos,presbytis melalophos,presbytis melalophos,presbytis melalophos,presbytis melalophos,TRUE
Prolemur simus,Prolemur simus,prolemur simus,prolemur simus,prolemur simus,prolemur simus,TRUE
Propithecus diadema,Propithecus diadema,propithecus diadema,propithecus diadema,propithecus diadema,propithecus diadema,TRUE
Propithecus tattersalli,Propithecus tattersalli,propithecus tattersalli,propithecus tattersalli,propithecus tattersalli,propithecus tattersalli,TRUE
Propithecus verreauxi,Propithecus verreauxi,propithecus verreauxi,propithecus verreauxi,propithecus verreauxi,propithecus verreauxi,TRUE
Pygathrix nemaeus,Pygathrix nemaeus,pygathrix nemaeus,pygathrix nemaeus,pygathrix nemaeus,pygathrix nemaeus,TRUE
Rhinopithecus roxellana,Rhinopithecus roxellana,rhinopithecus roxellana,rhinopithecus roxellana,rhinopithecus roxellana,rhinopithecus roxellana,TRUE
Saguinus bicolor,Saguinus bicolor,saguinus bicolor,saguinus bicolor,saguinus bicolor,saguinus bicolor,TRUE
Saguinus fuscicollis,Saguinus fuscicollis,saguinus fuscicollis,saguinus fuscicollis,saguinus fuscicollis,saguinus fuscicollis,TRUE
Saguinus geoffroyi,Saguinus geoffroyi,saguinus geoffroyi,saguinus geoffroyi,saguinus geoffroyi,saguinus geoffroyi,TRUE
Saguinus imperator,Saguinus imperator,saguinus imperator,saguinus imperator,saguinus imperator,saguinus imperator,TRUE
Saguinus labiatus,Saguinus labiatus,saguinus labiatus,saguinus labiatus,saguinus labiatus,saguinus labiatus,TRUE
Saguinus leucopus,Saguinus leucopus,saguinus leucopus,saguinus leucopus,saguinus leucopus,saguinus leucopus,TRUE
Saguinus midas,Saguinus midas,saguinus midas,saguinus midas,saguinus midas,saguinus midas,TRUE
Saguinus mystax,Saguinus mystax,saguinus mystax,saguinus mystax,saguinus mystax,saguinus mystax,TRUE
Saguinus nigricollis,Saguinus nigricollis,saguinus nigricollis,saguinus nigricollis,saguinus nigricollis,saguinus nigricollis,TRUE
Saguinus oedipus,Saguinus oedipus,saguinus oedipus,saguinus oedipus,saguinus oedipus,saguinus oedipus,TRUE
Saimiri boliviensis,Saimiri boliviensis,saimiri boliviensis,saimiri boliviensis,saimiri boliviensis,saimiri boliviensis,TRUE
Saimiri sciureus,Saimiri sciureus,saimiri sciureus,saimiri sciureus,saimiri sciureus,saimiri sciureus,TRUE
Semnopithecus entellus,Semnopithecus entellus,semnopithecus entellus,semnopithecus entellus,semnopithecus entellus,semnopithecus entellus,TRUE
Symphalangus syndactylus,Symphalangus syndactylus,symphalangus syndactylus,symphalangus syndactylus,symphalangus syndactylus,symphalangus syndactylus,TRUE
Theropithecus gelada,Theropithecus gelada,theropithecus gelada,theropithecus gelada,theropithecus gelada,theropithecus gelada,TRUE
Trachypithecus auratus,Trachypithecus auratus,trachypithecus auratus,trachypithecus auratus,trachypithecus auratus,trachypithecus auratus,TRUE
Trachypithecus cristatus,Trachypithecus cristatus,trachypithecus cristatus,trachypithecus cristatus,trachypithecus cristatus,trachypithecus cristatus,TRUE
Trachypithecus francoisi,Trachypithecus francoisi,trachypithecus francoisi,trachypithecus francoisi,trachypithecus francoisi,trachypithecus francoisi,TRUE
Trachypithecus obscurus,Trachypithecus obscurus,trachypithecus obscurus,trachypithecus obscurus,trachypithecus obscurus,trachypithecus obscurus,TRUE
Trachypithecus phayrei,Trachypithecus phayrei,trachypithecus phayrei,trachypithecus phayrei,trachypithecus phayrei,trachypithecus phayrei,TRUE
Trachypithecus pileatus,Trachypithecus pileatus,trachypithecus pileatus,trachypithecus pileatus,trachypithecus pileatus,trachypithecus pileatus,TRUE
Trachypithecus vetulus,Trachypithecus vetulus,trachypithecus vetulus,trachypithecus vetulus,trachypithecus vetulus,trachypithecus vetulus,TRUE
Varecia rubra,Varecia rubra,varecia rubra,varecia rubra,varecia rubra,varecia rubra,TRUE
Varecia variegata,Varecia variegata,varecia variegata,varecia variegata,varecia variegata,varecia variegata,TRUE
